id,Name,Level,AP,Cost,Power,Element1,Element2,Range,Size,Area,Card Type,Details,abilities,Rarity
AF01,Therm,1,3,1,1,FIRE,FIRE,2,4,Area,Black Aura,Stun !A0!.,1,C
AF02,Luminous Warmth,1,6,3,-,FIRE,FIRE,1,1,Single,White Aura,Draw !A0!.,1,C
AF03,Pyre,1,3,2 Hp,1,FIRE,FIRE,3,1,Ray,Black Aura,Break.,,U
AF04,Shielding Hearth,2,10,1,-,FIRE,FIRE,3,1,Single,Green Aura,Block the next !A0! Damage Target Player would take this Round.,10,C
AF05,Suffocating Ash,1,3,x ,1,FIRE,FIRE,2,1,Single,Black Aura,"Blind x.
When played from the Charged Deck Suffocating Ash has Blind !A1!.",1,U
AF06,Biting Heat,2,15,3,-,FIRE,FIRE,5,1,Single,White Aura,Destroy Target Level 1 or 2 Black Aura.,,C
AF07,Corona,2,7,2,-,FIRE,FIRE,5,1,Single,White Aura,Gain !A0! Fire Energy.,4,C
AF08,Ignis,2,7,1,2,FIRE,FIRE,5,1,Ray,Black Aura,,,C
AF09,Heat Visions,2,12,2,-,FIRE,FIRE,5,1,Single,White Aura,Transfer.,,C
AF10,Fire Tomb,2,9,2 Hp,1,FIRE,FIRE,4,3,Area,Black Aura,Fire Tomb Gains Obliterate !A0! when in a Spell with another Fire Aura.,3,C
AF11,Burnt Offering,2,7,1,1,FIRE,FIRE,2,1,Single,Black Aura,When Burnt Offering destroys an Aura or Spell: Target Spell Gains !A0! Power.,3,U
AF12,Singe,2,7,1,1,FIRE,FIRE,3,2,Area,Black Aura,Accelerate !A0!.,2,U
AF13,Solar Wind,3,8,2,2,FIRE,FIRE,4,1,Ray,Black Aura,Disable !A0!.,2,C
AF14,Eruption,3,18,1,3,FIRE,FIRE,4,5,Area,Black Aura,,,C
AF15,Supreme Blaze,3,8,2,-,FIRE,FIRE,3,1,Single,Green Aura,Destroy Target White or Green Aura.,,U
AF16,Cinder Storm,3,6,3,3,FIRE,FIRE,2,1,Single,Black Aura,Strike.,,C
AF17,Incandescent Coals,3,26,2,-,FIRE,FIRE,4,1,Single,White Aura,"Choose one:
- Restore !A0! Hp to Target Player.
- Discard an Aura from Target Player's Charging Line.",5,C
AF18,Scorching Embers,3,13,3 Hp,2,FIRE,FIRE,3,4,Area,Black Aura,"Blind x, where x is the number of unique levels Scorching Embers is in a Spell with.",,U
AF19,Meteor,4,22,4,3,FIRE,FIRE,3,6,Area,Black Aura,"Stun !A0!.
Meteor cannot be Blocked except by !A1! or more Auras","2,2",C
AF20,Raging Inferno,4,11,1,4,FIRE,FIRE,3,1,Single,Black Aura,When in a Spell of 3 or more cards Raging Inferno Gains Blind !A0!.,5,C
AF21,Firestorm,4,24,3 Hp,3,FIRE,FIRE,5,5,Area,Black Aura,1: Firestorm gains Link.,,U
AF22,Magma Wall,4,8,3,-,FIRE,FIRE,3,1,Single,Green Aura,Destroy any Attackers that Deal Damage to Target Player this Round.,,C
AF23,Pyroclastic Surge,4,12,3,3,FIRE,FIRE,3,1,Ray,Black Aura,If Pyroclastic Surge destroys an Aura its owner takes !A0! Damage for each Card he or she plays next Round.,1,C
AF24,Vitalizing Spark,4,18,3,-,FIRE,FIRE,2,1,Single,White Aura,Return a Black Aura from Discard to its owner's Charge 4.,,R
AF25,Glowing Sceptre,4,17,3,-,FIRE,FIRE,1,1,Single,Equipment,Multicast 2 Hp: Gain !A0! Fire Energy.,2,C
AF26,Sun Burst Cloak,1,18,4,-,FIRE,FIRE,1,1,Single,Equipment,x: Negate !A0!x Combat Damage you would take this Round.,2,C
AW01,Hydro,1,4,1,2,WATER,WATER,5,1,Single,Black Aura,,,C
AW02,Diamond Ice,1,2,1,1,WATER,WATER,2,2,Area,Black Aura,Freeze !A0!.,1,C
AW03,Aquatic Bounty,1,4,2,-,WATER,WATER,1,1,Single,White Aura,Gain !A0! Water Energy.,3,U
AW04,Freeze Counter,1,5,2 Hp,-,WATER,WATER,4,1,Single,Green Aura,Destroy Target Level 1 or 2 Aura.,,C
AW05,Balistic Sludge,1,2,1,1,WATER,WATER,3,1,Single,Black Aura,Disable !A0!.,1,C
AW06,Hyetal Flow,1,3,1,1,WATER,WATER,3,1,Ray,Black Aura,When in a Spell of 3 or more cards Hyetal Flow Gains Freeze !A0!.,3,U
AW07,Downpour,1,9,2,-,WATER,WATER,4,1,Single,White Aura,"Send Target Aura to Charge !A0!.
Discard Downpour when played from the Charged Deck.",2,C
AW08,Glacier,2,10,2 Hp,3,WATER,WATER,2,5,Area,Black Aura,"Freeze !A0!.
Guard.",1,C
AW09,Ice Wave,2,4,2,1,WATER,WATER,2,1,Single,Black Aura,Pierce.,,U
